folio	codigo	descripcion	marca	cantidad	precio	categoria
2867	40107	SALSA BOTANERA CLASICA 6/4.1LT PALMEX	PALMEX	2	65.4	Subfamilia de Varios
2867	40243	SALSA V.ROJA 12/1LT DLR	DLR	2	14.848	Subfamilia de Varios
2867	40152	SALSA V.ROJA 24/370 DLR	DLR	3	10.788	Subfamilia de Varios
2867	40133	SALSA V.NEGRA 12/1LT DLR	DLR	2	16.364	Subfamilia de Varios
2868	50010	CHOCORETAS 6/KG RICOLINO	RICOLINO	2	58.95	CHOCOLATES Y DEMAS PROD DERIVADOS CACAO
2868	90017	BOMBON MINI MINI 4/30/28GR DLR	DLR	5	33.005	PRODUCTOS DE CONFITERIA
2868	90082	BOMBON GIGANTE 15/400GR DLR	DLR	10	123	PRODUCTOS DE CONFITERIA
2868	90083	BOMBON MEDIANO 15/400GR DLR	DLR	5	64.5	PRODUCTOS DE CONFITERIA
2868	90087	BOMBON SUPER GTE BCO/ROSA C/5 DLR	DLR	5	15.74	PRODUCTOS DE CONFITERIA
2868	90043	BOMBON SUPER GTE COLORES C/5 DLR	DLR	5	70.6	PRODUCTOS DE CONFITERIA
2868	90002	BOMBON MINI MINI 5/50/15GR DLR	DLR	10	100.44	PRODUCTOS DE CONFITERIA
2868	50273	CAR MILKARAMEL CAFE 24/100 DLR	DLR	2	0.972	PRODUCTOS DE CONFITERIA
2868	50138	CAR MILKARAMEL SDO 24/100 DLR	DLR	2	0.972	PRODUCTOS DE CONFITERIA
2868	50233	CAR MILKARAMEL FRESA 24/100 DLR	DLR	2	1.45	PRODUCTOS DE CONFITERIA
2868	50223	CAR LITO 24/100PZ DLR	DLR	2	0.92	PRODUCTOS DE CONFITERIA
2868	50222	CAR FRESITA 24/100PZ DLR	DLR	2	225.372	PRODUCTOS DE CONFITERIA
2868	50288	CAR PIÑA C/24.DLR	DLR	3	1.266	PRODUCTOS DE CONFITERIA
2868	20858	PALETA MALVABONY 16/40 DLR	DLR	3	78	PRODUCTOS DE CONFITERIA
2868	120013	MAZAPAN GRANDE 20/30/28GR DLR	DLR	1	1.046	PRODUCTOS DE CONFITERIA
2868	120014	MAZAPAN CHICO 25/60/12.5GR DLR	DLR	1	0.64	PRODUCTOS DE CONFITERIA
2868	80016	PAL MINI JUMBO SDA 25/50PZ DLR	DLR	1	0.463	PRODUCTOS DE CONFITERIA
2868	80288	PAL MINI CHUPETA 25/50 DLR	DLR	1	10.095	PRODUCTOS DE CONFITERIA
